id,name,surname
542821,Iman,Nzipo
624508,Olebogeng,Sanderson
656409,Skhumbuzo,Twalo
536609,Jonah,Luqhide
590622,Michael,Makhado
692015,Kushal,Shamu
560763,Sivenathi,Maleho
548557,Xoliswa,Thabethe
511945,Asher,Komape
511170,Sizwe,Harris-Dewey
663699,Qhawe,Pienaar
579187,Koketso,Khumalo
625617,Jecquelina,Mohalakane
656482,Lebohang,Sangweni
567817,Dino,Mazid
651443,Yamkelaokuhle Elliot,Nekhumbe
636478,Mologadi,Koko
505856,Sibusiso,Ledwaba
646684,Mayibongwe,Hlungwane
606284,Aidan,Joannou
526304,Simon,Ravelle
689779,Zahraa,Gcanga
544182,Sphamandla,Sanderson
543796,Banica,Nhose
688511,Bono,Ntjana
579556,Karabo,Moyo
528984,Sihle,Fokazi
613038,Glenn,Ntshingila
532623,Hopwell,Mokabane
533059,Kgotso,Sanderson
541557,Nonkululeko,Govender
583059,Themba,Phokane
517865,Ramoshaba,Rahman
594317,Je-mé,Peters
664582,Moses,Irwin
670968,Neo,Gaetsosiwe
596813,Sandile,Madzima
673360,Thaluki,Irwin
529620,Sayan,Kruger-baartjes
538834,Molefe,Mohlala
622116,Jesse,Ntintili
531378,Zweli,Mbangatha
694641,Daniel,Ballim
657949,Ian,Moditambi
590683,Nicolle,Van De Vyver
587123,Selebrate,Sanderson
517522,Donald,Monkgelo
686345,Yamkelaokuhle Elliot,Khaile
555727,Sayan,Charuma
528701,Lebohang,Tshabalala
643620,Katlego,Ngobeni
666389,Nkosiyaphila,Mazibuko
694741,Kayleize,Madlokazi
612035,Sizwe,Shoko
686721,Sesona,Buthelezi
648246,Bo-yan,Mbara
525376,Vutlhari,O'sullivan-hewlett
671522,Nkosikhona,Ngwenya
510648,Koena,Irwin
672892,Matthew,Nzimande
657138,Thabiso,Marubini
640475,Keanu,Gcanga
564943,Michael,Rambaran
679620,Pule,Penyenye
628103,Jacques,Griffiths
665997,Taeisha,Tshazi
575263,Gerald,Molefe
504330,Jonah,Maseko
578356,Mlunghisi,Monaisa
601938,Mxolisi,Ramphore
576969,Nhlalala,Moodley
604861,Nhlanhla,Mbangatha
509397,Talifhani,Makgoatha
658397,Bukho,Dube
675877,Nthabiseng,Joannou
618585,Reece,Jagdew
519362,Khanyisa,Dubula
696219,Titi,Mti
632984,Daniel,Nkabinde
626045,Bawinile,Van Der Spuy
563082,Mohammed,Modise
674096,Kelvin,Walters
670656,Paulina,Wadaya
632002,Nonkululeko,Nkosi
514038,Thaluki,Moyo
519695,Ishmael,Khanyile
533274,Sesona,Harris-Dewey
651312,Percy,Musara
578509,Sitlabutla,Mesgari
554625,Oluwademilade,Gani
581445,Bhekamandlenkosi,Dlamini
665689,Pranesh,Kanyile
535309,Ioanni,Peter
635970,Mojalefa Paul,Vikilahle
647616,Vutomi,Reid
600153,Shavania,Lutz
549968,Jacques,Moyo
672256,Tieho,Smith
500594,Michael,Chaphole
602060,Tiisetso,Monkgelo
671612,Cornelius,Chirindza
642273,Nkosinathi,Madlala
622411,Ayanda,Komape
544740,Kamvalethu,Paul
591758,Banica,Khumalo
610149,Thabelang,Shamu
605595,Ndaedzo,Wookey
617466,Ian,Kobela
673628,Thami,Ngebhe
658748,Rajohana,Wookey
